Names,Indian,Salary
Elsie,TRUE,120000
Annie,TRUE,Annie
Katie,Katie,650000
TRUE,Thelma,321400
Thelma,TRUE,123456
Ellen,FALSE,Ellen
Rebecca,Rebecca,300000
Estella,TRUE,12897000
Corine,TRUE,10024329.7142857
Margie,FALSE,FALSE
FALSE,TRUE,12877981.8095238
Myrtis,FALSE,14304807.8571428
Pinkie,TRUE,15731633.9047619
Myrtie,TRUE,17158459.9523809
Jeanette,FALSE,TRUE
TRUE,TRUE,20012112.047619
FALSE,Katie,21438938.0952381
Trudie,Thelma,FALSE
Barbara,TRUE,24292590.1904762
Glennie,FALSE,25719416.2380952
Lassie,Elise,27146242.2857143
Liza,TRUE,28573068.3333333
Hettie,Katie,29999894.3809524
Iona,Thelma,31426720.4285714
Lorraine,TRUE,32853546.4761904
Willie,FALSE,34280372.5238095
Fannie,Rebecca,35707198.5714285
Sarah,TRUE,37134024.6190475
Myrtle,BOB,38560850.6666666
Rosie,FALSE,39987676.7142856
Lillian,TRUE,41414502.7619047
Nellie,FALSE,42841328.8095237
Mamie,TRUE,44268154.8571428
Edna,TRUE,45694980.9047618
Evelyn,FALSE,47121806.9523809
Laura,TRUE,48548632.9999999
Mabel,Katie,49975459.047619
Josie,Thelma,51402285.095238
Pearlie,TRUE,52829111.1428571
Rachel,FALSE,54255937.1904761
Era,Elise,55682763.2380952
Bettie,TRUE,57109589.2857142
Jean,Katie,58536415.3333332
Anne,Thelma,59963241.3809523
Lucinda,TRUE,61390067.4285713
Dessie,FALSE,62816893.4761904
Linnie,Rebecca,64243719.5238094
Marion,TRUE,65670545.5714285
Dovie,TRUE,67097371.6190475
Ira,FALSE,68524197.6666666
Ossie,TRUE,69951023.7142856
Abbie,FALSE,71377849.7619047
Clyde,TRUE,72804675.8095237
Goldie,TRUE,74231501.8571427
Lenora,FALSE,75658327.9047618
Aline,TRUE,77085153.9523808
Gennie,Katie,78511979.9999999
Vinnie,Thelma,79938806.0476189
Exie,TRUE,81365632.095238
Tressie,FALSE,82792458.142857
Ruth,Elise,84219284.1904761
Marie,TRUE,85646110.2380951
Rosie,Katie,87072936.2857142
Elizabeth,Thelma,88499762.3333332
Velma,TRUE,89926588.3809523
Eva,FALSE,91353414.4285713
Dora,Elise,92780240.4761903
Lula,TRUE,94207066.5238094
Bernice,Katie,95633892.5714284
Eula,Thelma,97060718.6190475
Daisy,TRUE,98487544.6666665
Addie,FALSE,99914370.7142853
Sadie,Rebecca,101341196.761904
Christine,Andy,102768022.809523
Lizzie,TRUE,104194848.857142
Rose,FALSE,105621674.904761
Sylvia,TRUE,107048500.952381
Lou,FALSE,108475327
Hettie,TRUE,109902153.047619
Melba,TRUE,111328979.095238
Camille,FALSE,112755805.142857
Eddie,TRUE,114182631.190476
Lonnie,Katie,115609457.238095
Annie,Thelma,117036283.285714
Beatrice,TRUE,118463109.333333
Sarah,FALSE,119889935.380952
Virgie,Elise,121316761.428571
Susie,TRUE,122743587.47619
Lela,Katie,124170413.523809
Sallie,Thelma,125597239.571428
Lucile,TRUE,127024065.619047
Verna,FALSE,128450891.666666
Katie,Rebecca,129877717.714285
Easter,TRUE,131304543.761904
Elma,TRUE,132731369.809523
Lora,FALSE,134158195.857142
Ava,TRUE,135585021.904761
Zella,FALSE,137011847.95238
Virgia,TRUE,138438674
Julia,TRUE,139865500.047619
Agnes,FALSE,141292326.095238
Beatrice,TRUE,142719152.142857
Katherine,Katie,144145978.190476
Ruth,Thelma,145572804.238095
Virginia,TRUE,146999630.285714
Elizabeth,FALSE,148426456.333333
